"ID","タイトル","巻・号","著者","発行者","発行年","県","市町村","旧市町村","flag","lat","lon"
"https://iss.ndl.go.jp/books/R100000002-I000000951033-00","行田市金石文集",,"行田市","行田市",1955,"埼玉県","行田市",,0,36.138309,139.455841
"https://iss.ndl.go.jp/books/R100000002-I000000982188-00","高畠の石碑石仏 : 教師と生徒の共同研究",,"高畠高等学校社会班","高畠の石碑石仏刊行会",1958,"山形県","東置賜郡高畠町",,1,38.00272,140.189468
"https://iss.ndl.go.jp/books/R100000002-I000001010024-00","上山の石造文化財",,"武田, 好吉","上山市教育委員会",1960,"山形県","上山市",,0,38.15023,140.267578
"https://iss.ndl.go.jp/books/R100000002-I000000940173-00","鎌倉国宝館図録","第10集 (鎌倉の石塔)","鎌倉国宝館","鎌倉市教育委員会[ほか]",1962,"神奈川県","鎌倉市",,0,35.319592,139.547134
"https://iss.ndl.go.jp/books/R100000002-I000001030860-00","播磨石造遺物古銘資料",,"浅田, 芳朗, 1909-","綜芸舎",1962,"兵庫県",,,1,34.691189,135.183105
"https://iss.ndl.go.jp/books/R100000002-I000001043425-00","松島金石誌 : 松島懐古の旅情に応えて",,"鈴木, 寅之助","瑞巌寺",1962,"宮城県","宮城郡松島町",,1,38.380459,141.069
"https://iss.ndl.go.jp/books/R100000002-I000001044118-00","近江の金石文資料 : 稿本",,"景山, 春樹, 1916-1985","景山春樹",1962,"滋賀県",,,1,35.003792,135.867828
"https://iss.ndl.go.jp/books/R100000002-I000001045945-00","大和の石仏",,"太田, 古朴, 1914-1997","信貴書院",1963,"奈良県",,,1,34.685051,135.83284
"https://iss.ndl.go.jp/books/R100000002-I000001047326-00","北条石仏",,"若杉, 慧, 1903-1987","筑摩書房",1963,"兵庫県","加西市",,1,34.92778,134.841537
"https://iss.ndl.go.jp/books/R100000002-I000001071781-00","奈良県金石文年表",,"土井, 実, 1907-","友山文庫",1963,"奈良県",,,1,34.685051,135.83284
"https://iss.ndl.go.jp/books/R100000002-I000001056572-00","ダムと石仏 : 只見川紀行",,"若杉, 慧, 1903-1987","毎日新聞社",1964,"福島県",,,1,37.750912,140.467865
"https://iss.ndl.go.jp/books/R100000002-I000010628861-00","佐賀の石仏・石彫",,"佐賀県文化館","佐賀県文化館",1964,"佐賀県",,,0,33.24995,130.299484
"https://iss.ndl.go.jp/books/R100000002-I000001078894-00","大和の石仏",,"星野, 立子, 1903-1984","淡交新社",1965,"奈良県",,,1,34.685051,135.83284
"https://iss.ndl.go.jp/books/R100000002-I000008487535-00","大分の石仏",,,"日の丸印刷",1965,"大分県",,,1,33.23737,131.612045
"https://iss.ndl.go.jp/books/R100000002-I000000871904-00","武生市史","資料編 [第3] (人物・系譜・金石文)","武生市","武生市",1966,"福井県","越前市","武生市",0,35.90321,136.168808
"https://iss.ndl.go.jp/books/R100000002-I000001082224-00","性神と石仏 : 上田周辺の石像文化",,"三石, 武古三郎, 1918-","上田小県資料刊行会",1966,"長野県","上田市",,1,36.402191,138.249176
